#sol up och ned
#Malmö: Solens upp- och nedgångar
#år 2022
#jan
08:36 15:46
08:36 15:48
08:36 15:49
08:35 15:50
08:35 15:52
08:34 15:53
08:34 15:55
08:33 15:56
08:32 15:58
08:32 15:59
08:31 16:01
08:30 16:03
08:29 16:04
08:28 16:06
08:27 16:08
08:26 16:10
08:25 16:12
08:23 16:14
08:22 16:15
08:21 16:17
08:19 16:19
08:18 16:21
08:16 16:23
08:15 16:25
08:13 16:27
08:12 16:30
08:10 16:32
08:08 16:34
08:07 16:36
08:05 16:38
08:03 16:40
#feb
08:01 16:42
07:59 16:44
07:58 16:47
07:56 16:49
07:54 16:51
07:52 16:53
07:50 16:55
07:47 16:57
07:45 17:00
07:43 17:02
07:41 17:04
07:39 17:06
07:37 17:08
07:34 17:10
07:32 17:13
07:30 17:15
07:28 17:17
07:25 17:19
07:23 17:21
07:21 17:23
07:18 17:25
07:16 17:27
07:14 17:30
07:11 17:32
07:09 17:34
07:06 17:36
07:04 17:38
07:02 17:40
#mar
06:59 17:42
06:57 17:44
06:54 17:47
06:52 17:49
06:49 17:51
06:47 17:53
06:44 17:55
06:41 17:57
06:39 17:59
06:36 18:01
06:34 18:03
06:31 18:05
06:29 18:07
06:26 18:09
06:23 18:11
06:21 18:13
06:18 18:15
06:16 18:17
06:13 18:19
06:11 18:21
06:08 18:23
06:05 18:25
06:03 18:27
06:00 18:29
05:58 18:31
05:55 18:33
06:52 19:35
06:50 19:37
06:47 19:39
06:44 19:41
06:42 19:43
#apr
06:39 19:45
06:37 19:47
06:34 19:49
06:32 19:52
06:29 19:54
06:26 19:56
06:24 19:58
06:21 20:00
06:19 20:02
06:16 20:04
06:14 20:06
06:11 20:07
06:09 20:09
06:06 20:11
06:04 20:13
06:01 20:15
05:59 20:17
05:56 20:19
05:54 20:21
05:51 20:23
05:49 20:25
05:47 20:27
05:44 20:29
05:42 20:31
05:39 20:33
05:37 20:35
05:35 20:37
05:32 20:39
05:30 20:41
05:28 20:43
#may
05:26 20:45
05:24 20:47
05:21 20:49
05:19 20:51
05:17 20:53
05:15 20:55
05:13 20:57
05:11 20:59
05:09 21:01
05:07 21:03
05:05 21:05
05:03 21:07
05:01 21:09
04:59 21:10
04:57 21:12
04:56 21:14
04:54 21:16
04:52 21:18
04:50 21:19
04:49 21:21
04:47 21:23
04:46 21:24
04:44 21:26
04:43 21:28
04:41 21:29
04:40 21:31
04:38 21:32
04:37 21:34
04:36 21:35
04:35 21:37
04:34 21:38
#jun
04:33 21:40
04:32 21:41
04:31 21:42
04:30 21:43
04:29 21:45
04:28 21:46
04:27 21:47
04:27 21:48
04:26 21:49
04:26 21:50
04:25 21:50
04:25 21:51
04:24 21:52
04:24 21:53
04:24 21:53
04:24 21:54
04:24 21:54
04:24 21:55
04:24 21:55
04:24 21:55
04:24 21:55
04:24 21:56
04:24 21:56
04:25 21:56
04:25 21:56
04:26 21:56
04:26 21:55
04:27 21:55
04:27 21:55
04:28 21:55
#jul
04:29 21:54
04:30 21:54
04:31 21:53
04:32 21:52
04:33 21:52
04:34 21:51
04:35 21:50
04:36 21:49
04:37 21:48
04:38 21:47
04:40 21:46
04:41 21:45
04:42 21:44
04:44 21:43
04:45 21:42
04:47 21:40
04:48 21:39
04:50 21:38
04:51 21:36
04:53 21:35
04:54 21:33
04:56 21:32
04:58 21:30
04:59 21:28
05:01 21:27
05:03 21:25
05:05 21:23
05:06 21:21
05:08 21:19
05:10 21:17
05:12 21:16
#aug
05:13 21:14
05:15 21:12
05:17 21:10
05:19 21:08
05:21 21:06
05:23 21:04
05:25 21:01
05:27 20:59
05:28 20:57
05:30 20:55
05:32 20:53
05:34 20:50
05:36 20:48
05:38 20:46
05:40 20:43
05:42 20:41
05:44 20:39
05:46 20:36
05:48 20:34
05:50 20:32
05:52 20:29
05:53 20:27
05:55 20:24
05:57 20:22
05:59 20:19
06:01 20:17
06:03 20:14
06:05 20:12
06:07 20:09
06:09 20:07
06:11 20:04
#sep
06:13 20:02
06:15 19:59
06:16 19:57
06:18 19:54
06:20 19:52
06:22 19:49
06:24 19:46
06:26 19:44
06:28 19:41
06:30 19:39
06:32 19:36
06:34 19:33
06:36 19:31
06:38 19:28
06:39 19:25
06:41 19:23
06:43 19:20
06:45 19:18
06:47 19:15
06:49 19:12
06:51 19:10
06:53 19:07
06:55 19:05
06:57 19:02
06:59 18:59
07:01 18:57
07:03 18:54
07:05 18:52
07:06 18:49
07:08 18:46
#oct
07:10 18:44
07:12 18:41
07:14 18:38
07:16 18:36
07:18 18:33
07:20 18:31
07:22 18:28
07:24 18:26
07:26 18:23
07:28 18:21
07:30 18:18
07:32 18:16
07:34 18:13
07:36 18:11
07:38 18:08
07:40 18:06
07:42 18:03
07:44 18:01
07:46 17:59
07:48 17:56
07:50 17:54
07:52 17:51
07:55 17:49
07:57 17:47
07:59 17:44
08:01 17:42
08:03 17:40
08:05 17:38
08:07 17:35
07:09 16:33
07:11 16:31
#nov
07:13 16:29
07:15 16:27
07:17 16:25
07:19 16:22
07:22 16:20
07:24 16:18
07:26 16:16
07:28 16:15
07:30 16:13
07:32 16:11
07:34 16:09
07:36 16:07
07:38 16:05
07:40 16:04
07:42 16:02
07:44 16:00
07:46 15:59
07:48 15:57
07:50 15:56
07:52 15:54
07:54 15:53
07:56 15:51
07:58 15:50
08:00 15:49
08:02 15:47
08:04 15:46
08:05 15:45
08:07 15:44
08:09 15:43
08:10 15:42
#dec
08:12 15:41
08:14 15:40
08:15 15:40
08:17 15:39
08:18 15:38
08:20 15:38
08:21 15:37
08:22 15:37
08:24 15:36
08:25 15:36
08:26 15:36
08:27 15:35
08:28 15:35
08:29 15:35
08:30 15:35
08:31 15:35
08:32 15:36
08:33 15:36
08:34 15:36
08:34 15:36
08:35 15:37
08:35 15:37
08:36 15:38
08:36 15:39
08:36 15:39
08:37 15:40
08:37 15:41
08:37 15:42
08:37 15:43
08:37 15:44
08:37 15:45
